cod,nome
856,Inst/repar telecomun
857,Inst/rep linhas elet
859,Out trab eletricos
861,Oper radio/TV
862,Oper som/cinema
871,Encanador/tubulac
872,Soldador/oxicortador
873,Chapeador/caldeir
874,Mont estrut metalica
880,Joalheiro/ourives
890,Soprador/mold vidro
891,Cortador/polid vidro
892,Ceramista
893,Forneiro vidro
894,Gravador vidro
895,Pintor/decor vidro
899,Out trab vidro/ceram
901,Trab prod borracha
902,Trab pneumaticos
903,Trab prod plastico
910,Trab produto papel
921,Compositor tipograf
922,Impressor tipograf
923,Ester/eletrotipista
924,Gravador/clicherista
925,Fotogravador
926,Encadernador
927,Trab labor fotograf
929,Out trab graficos
931,Pintor obras/estrut
939,Out pintores
941,Conf instr musicais
942,Cesteiro/prod vime
943,Trab mineral nao metal
949,Out confeccionadores
951,Pedreiro/estucador
952,Trab concr armado
953,Telhador
954,Carpinteiro
955,Ladrilh/parqueteiro
956,Inst mat isolante
957,Vidraceiro
959,Out const civil
961,Oper energ eletrica
969,Oper maq fixas
971,Estivador/carregador
972,Aparelhador/emend
973,Oper guindaste
974,Oper maq const civil
979,Out manip mercadoria
981,Contram/marinheiro
982,Maquin/foguista emb
983,Maquin/foguista trem
984,Ag/aux manobras
985,Condutor veiculos
986,Condutor animais
989,Out condutores
999,Out trab bracais
